Date,ACWI
2020-01-03,-0.008617606595989868
2020-01-06,0.002267727567861977
2020-01-07,-0.0025140079565784124
2020-01-08,0.004914454304106863
2020-01-09,0.005642857691434022
2020-01-10,-0.002244540577433285
2020-01-13,0.007498143603416274
2020-01-14,-0.0008684741891968883
2020-01-15,-0.0006208035218309149
2020-01-16,0.007329302482744993
2020-01-17,0.0027131384313130447
2020-01-21,-0.005411284893557355
2020-01-22,0.0007417049960456445
2020-01-23,0.0001236813884495369
2020-01-24,-0.00827785376614043
2020-01-27,-0.01856238611347716
2020-01-28,0.009393470430430817
2020-01-29,-0.00012587440772815484
2020-01-30,0.0
2020-01-31,-0.017607962764343177
2020-02-03,0.0067854352356684355
2020-02-04,0.01716687919617743
2020-02-05,0.009501329911373535
2020-02-06,0.0019813386967011404
2020-02-07,-0.006550510869125614
2020-02-10,0.004976513540791094
2020-02-11,0.005075262178775297
2020-02-12,0.0066512062273857975
2020-02-13,-0.004527208058471399
2020-02-14,0.0009833966226471258
2020-02-18,-0.0039293099218989935
2020-02-19,0.004191076516391279
2020-02-20,-0.005769539763434084
2020-02-21,-0.007778799001834091
2020-02-24,-0.03434530377280165
2020-02-25,-0.02564455760670259
2020-02-26,0.0009261314205564197
2020-02-27,-0.035016085319487966
2020-02-28,-0.01054378471033457
2020-03-02,0.03307543014988257
2020-03-03,-0.023844745980337367
2020-03-04,0.04103194536028387
2020-03-05,-0.03058272109936011
2020-03-06,-0.017813305586502626
2020-03-09,-0.07531509500940425
2020-03-10,0.04596494899727488
2020-03-11,-0.051674567479014555
2020-03-12,-0.09826416794725701
2020-03-13,0.07164368894698026
2020-03-16,-0.1121523675671694
2020-03-17,0.062455845801804744
2020-03-18,-0.06010935908446413
2020-03-19,0.0063426295645208075
2020-03-20,-0.03168747954130813
2020-03-23,-0.01771851716562889
2020-03-24,0.08135479910068821
2020-03-25,0.027404172974208052
2020-03-26,0.05268394283946565
2020-03-27,-0.02927287726529515
2020-03-30,0.022049221537728148
2020-03-31,-0.007455637572271523
2020-04-01,-0.04586857697850388
2020-04-02,0.020100481678786197
2020-04-03,-0.014942377504839177
2020-04-06,0.0616767866087673
2020-04-07,0.001099067577572388
2020-04-08,0.024153204173582354
2020-04-09,0.014548230338136126
2020-04-13,-0.008000154000115
2020-04-14,0.025715160410002547
2020-04-15,-0.024921981894497347
2020-04-16,0.004259826979950976
2020-04-17,0.02726840684828069
2020-04-20,-0.014599617150499511
2020-04-21,-0.030679370030195163
2020-04-22,0.023467813066853305
2020-04-23,-0.0010561501141868046
2020-04-24,0.010268835521628716
2020-04-27,0.01629295692969568
2020-04-28,0.00014703557643924725
2020-04-29,0.026470717971639246
2020-04-30,-0.015472865268801428
2020-05-01,-0.0263386047740507
2020-05-04,0.0032878101299838036
2020-05-05,0.007001579368928645
2020-05-06,-0.00532555541764923
2020-05-07,0.013236122070972023
2020-05-08,0.01658586476202606
2020-05-11,0.0010107394473368725
2020-05-12,-0.016875623472820567
2020-05-13,-0.013204440390758188
2020-05-14,0.006244702316167583
2020-05-15,0.0008861920957268232
2020-05-18,0.0339535210939641
2020-05-19,-0.010137144886074312
2020-05-20,0.016731550801621253
2020-05-21,-0.008795627705560749
2020-05-22,-0.001144994488775919
2020-05-26,0.018770581831051958
2020-05-27,0.012517479629225337
2020-05-28,0.0008335445748799408
2020-05-29,0.0023595097781312635
2020-06-01,0.012738800965049757
2020-06-02,0.010938032347208804
2020-06-03,0.016364676192378136
2020-06-04,-0.005455932304817668
2020-06-05,0.02287946503744731
2020-06-08,0.01164161014105014
2020-06-09,-0.00879237446725789
2020-06-10,-0.0027393536071110836
2020-06-11,-0.056245869366287504
2020-06-12,0.014414666687288413
2020-06-15,0.006806176549046583
2020-06-16,0.016559627673958577
2020-06-17,-0.0005383027133996077
2020-06-18,-0.0012124498053176502
2020-06-19,-0.00566433176470138
2020-06-22,0.010036838376728197
2020-06-23,0.0046996391424325434
2020-06-24,-0.023522940040026863
2020-06-25,0.010676171578075211
2020-06-26,-0.019366148979338638
2020-06-29,0.011462320207544341
2020-06-30,0.0065538581531714435
2020-07-01,0.007460539753224138
2020-07-02,0.009290501843929544
2020-07-06,0.019210317128227405
2020-07-07,-0.011649075044580237
2020-07-08,0.01032977104316779
2020-07-09,-0.006160755230158577
2020-07-10,0.008045285703767169
2020-07-13,-0.00876603347897853
2020-07-14,0.012407379261388574
2020-07-15,0.00990884736877895
2020-07-16,-0.006067915021263581
2020-07-17,0.0035071043339225394
2020-07-20,0.008801515187736975
2020-07-21,0.0030793207710311243
2020-07-22,0.0031976768315926662
2020-07-23,-0.010327712167453207
2020-07-24,-0.005926247803743623
2020-07-27,0.011145731561555072
2020-07-28,-0.00679321586961934
2020-07-29,0.011872486750161393
2020-07-30,-0.006504028981588972
2020-07-31,-0.0029527396119839455
2020-08-03,0.010557524260560891
2020-08-04,0.0052235077032403154
2020-08-05,0.006844197958930431
2020-08-06,0.003524618655929901
2020-08-07,-0.004515795945301604
2020-08-10,0.002520062847461313
2020-08-11,-0.003519198417934577
2020-08-12,0.01576686246121861
2020-08-13,-0.002111004342368883
2020-08-14,-0.0022400191492855104
2020-08-17,0.007233836348901734
2020-08-18,0.001114256174252537
2020-08-19,-0.005442006063138161
2020-08-20,0.0009947380488648516
2020-08-21,0.0016152822841974945
2020-08-24,0.010667282277979195
2020-08-25,0.003927415263894396
2020-08-26,0.008190662929047354
2020-08-27,-0.00303133723556126
2020-08-28,0.007662301772776159
2020-08-31,-0.006035068227160267
2020-09-01,0.008621713021162991
