Date,SPY
2020-01-03,-0.007572294066993224
2020-01-06,0.0038153445731137214
2020-01-07,-0.0028120041634241977
2020-01-08,0.005329662590513706
2020-01-09,0.006780349308957323
2020-01-10,-0.0028774791790132648
2020-01-13,0.00687757712896464
2020-01-14,-0.001524919643285605
2020-01-15,0.002259691072121095
2020-01-16,0.008318756463221888
2020-01-17,0.0031122723893064475
2020-01-21,-0.0019581782500371903
2020-01-22,0.00012077208743588308
2020-01-23,0.0011467453197198108
2020-01-24,-0.008892887061705657
2020-01-27,-0.01602924390164584
2020-01-28,0.010478859372600846
2020-01-29,-0.0008261332363060925
2020-01-30,0.0032454547469300543
2020-01-31,-0.01815756273781599
2020-02-03,0.007428222352928282
2020-02-04,0.015241305994311949
2020-02-05,0.01154812038049191
2020-02-06,0.0033647721227283434
2020-02-07,-0.005329590841606335
2020-02-10,0.007465483048408661
2020-02-11,0.0017326658508665105
2020-02-12,0.006443076124646341
2020-02-13,-0.0010673322715775146
2020-02-14,0.0016023149781823065
2020-02-18,-0.002576814882126355
2020-02-19,0.004781084791998902
2020-02-20,-0.004108154982060408
2020-02-21,-0.010298267703716779
2020-02-24,-0.03316557016211885
2020-02-25,-0.030301831918303157
2020-02-26,-0.003678600923043507
2020-02-27,-0.04491113103044386
2020-02-28,-0.004201855119928322
2020-03-02,0.04330656416284584
2020-03-03,-0.028632680724930082
2020-03-04,0.04203321277088956
2020-03-05,-0.0332417369276653
2020-03-06,-0.016531043241884924
2020-03-09,-0.07809474363729985
2020-03-10,0.05174497791340782
2020-03-11,-0.04874815970173929
2020-03-12,-0.09567728846675427
2020-03-13,0.0854860714079233
2020-03-16,-0.10942354112661234
2020-03-17,0.05399203112460382
2020-03-18,-0.05063292386216245
2020-03-19,0.002125107396784953
2020-03-20,-0.04309444819507324
2020-03-23,-0.02556813960061388
2020-03-24,0.09060336056117135
2020-03-25,0.01497034502247585
2020-03-26,0.05838948141695943
2020-03-27,-0.02978551579998323
2020-03-30,0.03247557903202414
2020-03-31,-0.014905089046870934
2020-04-01,-0.0450050575826727
2020-04-02,0.023075365360566202
2020-04-03,-0.014454024225886264
2020-04-06,0.0671663513655596
2020-04-07,0.0010192606359622491
2020-04-08,0.03356848245582689
2020-04-09,0.01521746541575486
2020-04-13,-0.009130265823798611
2020-04-14,0.029492748390570256
2020-04-15,-0.02124809466468891
2020-04-16,0.0048242004866985155
2020-04-17,0.027015662988613798
2020-04-20,-0.01761817494810991
2020-04-21,-0.030363179764851367
2020-04-22,0.02219444195926612
2020-04-23,-7.155668069724896e-05
2020-04-24,0.013938464657518912
2020-04-27,0.014418804326142842
2020-04-28,-0.0045986111016874665
2020-04-29,0.026178413922601784
2020-04-30,-0.009310567238813738
2020-05-01,-0.026473667929833855
2020-05-04,0.0027584984831234838
2020-05-05,0.009239314161826329
2020-05-06,-0.006778616261665982
2020-05-07,0.012066755794551298
2020-05-08,0.016546079963482674
2020-05-11,0.00020521624012248552
2020-05-12,-0.019931459650328165
2020-05-13,-0.017686113034792728
2020-05-14,0.011967314255356243
2020-05-15,0.00459707828076561
2020-05-18,0.030459707423899918
2020-05-19,-0.01027113638126076
2020-05-20,0.016987666414425506
2020-05-21,-0.006903419936626798
2020-05-22,0.001898830677634633
2020-05-26,0.012320460236777686
2020-05-27,0.014879095073406567
2020-05-28,-0.0018448270236761655
2020-05-29,0.004455576454708732
2020-06-01,0.004041944585158941
2020-06-02,0.00828027638446116
2020-06-03,0.013308317443921913
2020-06-04,-0.0026268544850351905
2020-06-05,0.025629298090265484
2020-06-08,0.01208734820134394
2020-06-09,-0.00745651642134193
2020-06-10,-0.00558009253161218
2020-06-11,-0.05764899259422074
2020-06-12,0.011975919022590764
2020-06-15,0.009335902483414094
2020-06-16,0.019247470363490615
2020-06-17,-0.0041538663571211165
2020-06-18,0.00038490935035273566
2020-06-19,-0.0057147739638815365
2020-06-22,0.00641529200307156
2020-06-23,0.004603491153611028
2020-06-24,-0.02550861563777962
2020-06-25,0.010720351320662402
2020-06-26,-0.02375125259434463
2020-06-29,0.014697552839543215
2020-06-30,0.012809623841980367
2020-07-01,0.007004661105286969
2020-07-02,0.0055069599591195395
2020-07-06,0.015437248173014284
2020-07-07,-0.010313547732086148
2020-07-08,0.007648286095757406
2020-07-09,-0.005692779309326101
2020-07-10,0.010210453389167373
2020-07-13,-0.008658866112003283
2020-07-14,0.012958940285633158
2020-07-15,0.009187389416349223
2020-07-16,-0.0032935495933840153
2020-07-17,0.0028989219329902394
2020-07-20,0.008081872993884964
2020-07-21,0.002127396094744105
2020-07-22,0.005691923035112456
2020-07-23,-0.011931570689493576
2020-07-24,-0.006440307127119849
2020-07-27,0.0072923358417840145
2020-07-28,-0.006342492994786397
2020-07-29,0.012298807030556302
2020-07-30,-0.003567937028817747
2020-07-31,0.007902220721649256
2020-08-03,0.0069519796337504935
2020-08-04,0.0038627799960715414
2020-08-05,0.006210855419793493
2020-08-06,0.0066845450314405586
2020-08-07,0.0007180143952842943
2020-08-10,0.0029891544059501562
2020-08-11,-0.008254661427346766
2020-08-12,0.013942001880515198
2020-08-13,-0.0018076141081364572
2020-08-14,2.9662686467535337e-05
2020-08-17,0.003176447744970945
2020-08-18,0.002160498179970105
2020-08-19,-0.004163675004886569
2020-08-20,0.003113616497528504
2020-08-21,0.0035473736930644595
2020-08-24,0.010133411145125892
2020-08-25,0.003498798671671688
2020-08-26,0.010025717326402894
2020-08-27,0.0021865951241690773
2020-08-28,0.00645932856346243
2020-08-31,-0.003622504659026027
